week_number,reward_card_nbr,sales
15,78749084,321.04
15,9307765,387.09
15,80517779,449.18
15,37970853,21.77
15,63879251,131.80
15,29540249,133.95
15,9046779,126.95
15,81889790,225.32
15,79251929,57.70
15,12390293,73.57
15,12806071,221.94
15,77812398,130.50
15,42587399,413.99
15,24721660,63.40
15,72893553,6.07
15,81053037,206.58
15,73900818,513.65
15,9996003,161.35
15,12904829,267.49
15,65815877,121.86
15,101983104,173.75
15,51078713,233.83
15,9838627,41.69
15,76119993,39.58
15,25009265,99.93
15,8968879,149.69
15,8044200,120.53
15,49429822,184.39
15,9513063,160.34
15,64396245,61.94
15,13924032,33.12
15,15109685,427.19
15,72729563,2.98
15,7637615,90.08
15,21463903,141.44
15,10274339,718.65
15,25581803,233.14
15,11749516,12.78
15,7843560,15.13
15,90187412,42.76
15,19503242,480.41
15,50785918,85.16
15,72350459,130.04
15,31690049,124.07
15,26906102,117.60
15,10876442,159.27
15,9949103,216.44
15,31449475,318.92
15,9486307,51.00
15,74627160,15.51
15,38300758,395.77
15,11636314,59.63
15,23062187,218.78
15,8348499,266.33
15,25125185,105.91
15,7811742,5.52
15,47622964,299.41
15,79091877,19.60
15,29863585,168.66
15,13268519,516.27
15,12707928,138.70
15,32872429,286.41
15,47116016,28.88
15,90492670,32.06
15,11523951,218.77
15,55163180,8.76
15,45854641,179.05
15,9479321,142.35
15,13218684,81.64
15,84243757,36.64
15,41941485,69.68
15,42132200,35.45
15,89804291,153.50
15,13113626,206.04
15,9393825,268.08
15,76523222,73.14
15,33711387,40.56
15,11960019,6.27
15,84789910,27.94
15,21671065,583.79
15,9453910,101.57
15,8872681,31.44
15,10124859,204.89
15,7863644,138.49
15,12108992,78.03
15,9534372,3.42
15,10112332,193.79
15,11140261,45.91
15,16075720,29.95
15,66367670,132.85
15,11137187,126.46
15,10589433,68.79
15,12361013,14.08
15,9147283,230.78
15,8956455,416.94
15,55881395,127.42
15,14458372,169.35
15,87074170,225.05
15,13092877,77.16
15,68946006,387.82
15,48212542,85.32
15,10452341,183.69
15,87343195,24.67
15,77357693,40.09
15,35305523,142.37
15,8323387,97.75
15,57677039,61.68
15,31436773,157.73
15,84338155,85.36
15,45756394,62.27
15,95514413,252.88
15,15022294,114.17
15,7803553,92.96
15,7623611,120.59
15,8526207,321.74
15,7999293,31.40
15,53076874,102.49
15,95273900,50.84
15,23180790,102.09
15,9143616,75.48
15,13011038,358.96
15,14144787,159.10
15,28606635,232.76
15,16225467,11.22
15,14670203,106.02
15,9388975,238.70
15,66277933,68.80
15,10934628,109.25
15,51290522,132.47
15,14131815,60.38
15,9825558,111.99
15,8258326,35.03
15,14339379,39.10
15,13973220,63.08
15,90476352,114.84
15,76863472,240.57
15,75756886,178.24
15,9606566,141.31
15,84695460,31.82
15,8996731,80.41
15,98684602,78.31
15,87613961,88.89
15,61106053,96.21
15,14688763,16.05
15,15385374,116.48
15,36279338,173.93
15,29695853,124.57
15,12368973,192.23
15,33030832,24.68
15,33258713,21.12
15,35481848,276.08
15,64329534,178.13
15,57969027,164.16
15,56028126,56.13
15,50951489,348.79
15,15620775,231.64
15,12222179,63.17
15,10585227,143.81
15,30392426,63.90
15,10536552,198.20
15,37996258,318.66
15,43311099,185.20
15,22671850,25.51
15,14118494,183.88
15,19103907,194.12
15,87983701,18.81
15,98959082,509.73
15,45459955,145.81
15,10674107,208.20
15,26706733,283.73
15,71708339,691.92
15,73291287,93.58
15,77956790,13.39
15,12885359,5.30
15,8843475,249.12
15,8860305,166.47
15,50083435,538.74
15,63307415,133.84
15,9610473,88.58
15,12931175,284.45
15,13500824,104.50
15,60750908,140.46
15,97412762,114.09
15,10266169,139.52
15,77025243,197.28
15,10158826,20.65
15,55649115,27.68
15,95287249,348.65
15,11328085,439.33
15,49811242,428.20
15,14243248,87.66
15,25454223,73.81
15,7680550,88.86
15,14983131,95.78
15,16826852,320.45
15,62915516,183.64
15,13759346,125.14
15,15296597,79.01
15,13361636,21.89
15,10150186,32.76
15,48083409,45.19
15,63040027,243.15
15,14590193,245.99
15,14500728,177.85
15,11816511,146.50
15,40069495,262.11
15,87915955,312.86
15,8773980,202.01
15,15022953,99.91
15,29748948,9.85
15,55321002,47.59
15,94952700,48.14
15,14064796,22.84
15,54918826,204.47
15,54092527,106.96
15,23110912,372.19
15,12940525,45.31
15,44091192,96.88
15,8967190,45.55
15,11195284,132.26
15,15039702,324.59
15,12681339,12.84
15,63856621,146.69
15,13716970,268.15
15,15180194,167.40
15,80894125,282.55
15,17433108,35.62
15,30290233,20.40
15,9290026,141.90
15,47092708,199.25
15,12879963,48.62
15,87041096,207.00
15,58181182,97.31
15,30146247,261.40
15,11415983,326.13
15,89833947,186.01
15,31501420,382.34
15,82227999,113.13
15,51612169,25.80
15,10765333,167.71
15,11461076,40.63
15,67010454,1.59
15,12920755,194.66
15,92028400,95.18
15,9950095,182.66
15,15400610,146.54
15,62908367,182.28
15,11960231,101.21
15,15121704,29.39
15,11129756,229.75
15,8603554,132.60
15,10889877,64.66
15,18392685,228.91
15,8490963,359.75
15,68706964,35.96
15,71303070,169.08
15,11174512,58.25
15,10794913,53.26
15,15395385,146.13
15,64348121,140.63
15,60821913,54.07
15,14204765,1838.52
15,12935082,186.30
15,93684550,276.48
15,35604052,74.78
15,12732031,106.37
15,12844602,217.07
15,72818440,80.79
15,18790829,8.52
15,8509351,66.09
15,70823850,265.47
15,15075327,84.40
15,18196462,342.42
15,10623320,14.93
15,8074051,101.04
15,16073459,137.65
15,12251190,162.25
15,9446064,397.41
15,83064129,275.51
15,13089683,110.33
15,84381363,250.12
15,14427003,146.48
15,85069977,81.00
15,9326832,133.11
15,71312420,375.14
15,45191052,281.00
15,11878110,167.55
15,11488252,41.38
15,46259666,68.61
15,12710983,85.23
15,58599396,227.70
15,11986392,62.93
15,8753185,33.10
15,8846235,175.86
15,20643193,295.04
15,90405866,48.28
15,10586470,51.25
15,50747104,18.16
15,42174873,252.86
15,25831661,160.72
15,82043513,105.41
15,11687914,135.50
15,78179316,49.15
15,10663766,166.89
15,15111949,357.05
15,43639769,34.06
15,7587917,197.71
15,73622081,53.30
15,13045249,126.20
15,15420519,83.07
15,77125240,177.37
15,11791653,320.96
15,72917469,49.15
15,14212326,83.06
15,37447705,386.35
15,81258180,62.90
15,66123565,254.57
15,48558793,54.35
15,89852851,152.90
15,23347855,78.37
15,9815117,333.36
15,86727147,81.23
15,43053674,50.11
15,93191059,30.07
15,63847148,144.94
15,9978457,223.91
15,97029547,12.62
15,14541258,205.13
15,51593689,182.71
15,7604084,246.32
15,79880424,316.40
15,89517592,177.91
15,80744831,18.39
15,34345709,100.50
15,14381140,68.22
15,82212937,126.81
15,55273468,227.14
15,32634416,271.87
15,76932150,281.28
15,54517034,93.21
15,25945919,59.27
15,16318698,316.70
15,24611370,392.30
15,8190288,38.37
15,63737093,14.66
15,10904815,17.45
15,55127777,5.87
15,12424355,233.82
15,32391544,33.21
15,12781732,77.38
15,47947264,6.07
15,54372077,10.94
15,93459195,86.20
15,12678499,178.90
15,94658112,168.06
15,11187006,137.69
15,16162874,31.16
15,16538543,313.65
15,24603643,331.80
15,46355821,277.65
15,8743166,85.19
15,10595020,101.27
15,22719786,9.95
15,55978482,257.65
15,22812894,165.98
15,56642570,76.07
15,59085128,55.22
15,72050928,367.02
15,14503451,362.02
15,8579285,36.53
15,26920941,7.11
15,9355434,37.55
15,10438512,77.70
15,57874164,265.95
15,28574983,399.42
15,13361044,72.75
15,11664411,498.80
15,11744507,90.99
15,8697712,71.45
15,11489832,79.31
15,11597940,89.92
15,14726587,123.24
15,14941656,78.81
15,30070848,35.75
15,16198568,211.56
15,9487654,101.35
15,9978966,39.39
15,77132164,28.93
15,58865774,4.58
15,37385926,190.52
15,14723773,73.24
15,10099596,75.81
15,14356788,565.51
15,68975409,211.78
15,12094233,62.91
15,58255743,137.55
15,56330552,115.71
15,8565423,184.43
15,18296939,4.88
15,13596141,108.18
15,85055780,138.59
15,67566403,38.71
15,9788057,351.28
15,13847146,20.30
15,12528350,267.32
15,14113083,289.17
15,27960464,112.90
15,69108959,151.85
15,30611112,73.80
15,87247513,192.34
15,85568384,246.52
15,12883940,38.95
15,14013388,176.92
15,26768686,52.86
15,13526703,78.65
15,12194916,64.34
15,22159352,67.25
15,28781270,268.66
15,7904486,16.42
15,54270902,56.23
15,78693435,104.76
15,67514736,29.25
15,49411801,317.24
15,25306801,22.25
15,92971043,302.74
15,9278945,308.54
15,30929456,196.20
15,74760810,373.14
15,77991513,496.83
15,14401465,75.32
15,8372650,35.84
15,82288729,112.61
15,45434999,345.29
15,11475056,89.11
15,10144065,8.36
15,74488466,43.46
15,32505773,54.25
15,20633904,131.54
15,61346698,146.51
15,8700646,302.68
15,15533736,330.47
15,15328984,247.43
15,8199730,70.54
15,78965420,95.86
15,8966356,174.61
15,11740164,883.94
15,98664211,54.31
15,48816816,112.10
15,94982400,162.03
15,87592123,724.17
15,41486921,10.28
15,95756728,31.98
15,14910291,148.79
15,26567338,61.18
15,12689155,67.55
15,8980824,69.27
15,94913435,73.70
15,24757568,145.20
15,7605552,40.85
15,33695494,212.58
15,9818547,46.99
15,82097199,207.30
15,13082627,519.87
15,7842921,124.99
15,27281398,259.37
15,76251749,378.73
15,14165482,402.21
15,16507707,146.85
15,8422651,244.71
15,8023892,245.24
15,7623594,31.97
15,15330705,48.37
15,11109517,553.38
15,8847655,85.63
15,8696359,196.54
15,57978671,131.73
15,40061413,272.98
15,71562241,113.57
15,83198907,44.50
15,30363629,345.98
15,43029879,422.36
15,45540522,66.26
15,77312109,232.29
15,7960959,251.08
15,84885592,260.64
15,72723015,339.63
15,13401420,231.36
15,73787395,341.48
15,41167012,262.39
15,56754631,45.78
15,11124118,92.05
15,75444656,246.97
15,12298318,106.60
15,9784987,43.98
15,14409869,178.39
15,16323617,43.71
15,74432906,62.88
15,8929092,232.84
15,13365505,271.96
15,15136088,308.25
15,15448276,20.91
15,8133423,193.99
15,14664461,51.91
15,9702496,79.72
15,13251110,64.26
15,13012073,15.49
15,89631295,423.74
15,12117370,145.12
15,13769019,457.37
15,59089664,82.70
15,71678666,182.47
15,10603687,219.29
15,56404091,156.72
15,45446446,395.44
15,78918191,317.28
15,97048636,114.96
15,8830411,68.32
15,74252332,7.76
15,14471646,68.71
15,13150038,140.12
15,13808295,166.21
15,12529063,40.30
15,13265508,42.34
15,10301069,155.46
15,63817856,181.18
15,16423847,180.98
15,8687701,27.54
15,27148651,116.25
15,10564337,111.89
15,17602171,84.36
15,95046637,21.39
15,11306221,154.68
15,11315107,77.04
15,7877649,110.49
15,59831040,107.95
15,44673878,35.69
15,14129337,37.70
15,71460984,82.71
15,86407981,598.32
15,10079019,266.08
15,9578146,238.91
15,11845947,165.37
15,82250185,157.22
15,43555376,282.79
15,15011149,14.37
15,8159524,138.87
15,11329813,533.68
15,9869535,77.75
15,79482416,78.28
15,71530859,313.37
15,12913019,304.94
15,8752441,52.75
15,10742768,87.48
15,25389041,153.80
15,61370808,143.93
15,7543443,281.82
15,13707557,67.58
15,7881936,34.19
15,13736932,30.84
15,10690280,250.60
15,17753799,119.86
15,10975279,15.00
15,11931553,216.35
15,14538858,309.92
15,11329683,71.88
15,15367163,251.40
15,12498275,168.62
15,12173360,102.89
15,45016676,137.54
15,75895269,327.02
15,61430343,49.81
15,14468010,132.83
15,74294074,517.46
15,79578951,266.25
15,10504149,40.14
15,71584545,252.34
15,23926640,51.29
15,90259384,91.13
15,13829884,389.44
15,30169458,395.60
15,28988205,11.94
15,12843765,47.40
15,13761190,142.58
15,14896803,108.24
15,8200713,190.78
15,9256136,438.57
15,9098281,633.29
15,67297726,74.25
15,7855317,56.71
15,15991649,144.16
15,9284507,115.17
15,13363690,125.53
15,15898070,244.08
15,82597826,216.24
15,27454941,103.14
15,7855782,75.28
15,10439309,285.05
15,72774572,261.35
15,90831711,156.25
15,88303851,276.53
15,11199475,246.33
15,8789288,122.55
15,53564215,281.57
15,51879161,72.18
15,29662579,54.33
15,8480685,289.91
15,14606280,5.40
15,13637858,24.53
15,13536772,448.25
15,38723869,188.12
15,47324539,138.87
15,24820208,112.73
15,12263389,131.86
15,12975574,80.57
15,67539320,113.36
15,14498467,152.52
15,15372549,33.14
15,13699677,69.29
15,13214144,52.83
15,89204278,131.18
15,75652352,112.95
15,8126433,115.89
15,74854791,135.66
15,20412094,182.48
15,97823952,109.27
15,22848448,176.45
15,59238072,281.40
15,74748064,75.84
15,9188712,103.05
15,87730224,22.37
15,11814031,71.88
15,101790656,174.83
15,13380776,50.30
15,80709407,26.95
15,15179601,41.48
15,14425020,375.73
15,10232691,87.45
15,13963411,84.62
15,16102683,236.98
15,37624563,126.04
15,77240182,18.44
15,12990567,133.61
15,55080020,18.35
15,96879672,82.46
15,12083833,130.69
15,14427689,27.22
15,11026359,118.44
15,80791100,229.34
15,92503033,160.49
15,62554568,551.17
15,60891949,143.91
15,10727387,66.04
15,10355386,48.01
15,22876052,131.29
15,84837977,31.22
15,8567134,21.67
15,11276811,43.92
15,82083668,347.70
15,19974017,50.94
15,9323220,28.52
15,30029616,362.31
15,11542922,123.99
15,12216665,174.53
15,12659774,76.61
15,11064871,78.03
15,29599968,32.04
15,70971352,241.58
15,10280762,37.89
15,24600014,164.79
15,10402425,143.26
15,15204052,184.00
15,15976788,9.45
15,68959020,208.16
15,40640636,194.92
15,17798239,68.50
15,7973913,30.16
15,84347924,45.29
15,37674666,306.30
15,62069307,223.26
15,13923568,47.85
15,9714907,172.30
15,66718330,249.83
15,37843254,97.98
15,42490297,63.35
15,7638209,178.71
15,27509626,118.62
15,96733482,8.85
15,23751035,95.96
15,7547624,244.59
15,14779946,133.99
15,94450609,116.14
15,95470553,113.48
15,11991655,112.45
15,10291171,48.77
15,11635225,14.77
15,55767471,477.08
15,74627830,292.54
15,66992375,69.37
15,29766157,258.68
15,62061799,142.76
15,11561066,51.24
15,17575516,236.02
15,12801770,105.08
15,11968851,79.89
15,98533753,74.23
15,13470064,64.37
15,80718879,204.86
15,8405925,75.49
15,24697799,13.43
15,98227966,7.54
15,12260249,86.87
15,7775207,253.56
15,15420725,55.89
15,8252389,22.78
15,48634969,23.74
15,42594925,44.90
15,9863244,208.91
15,15513379,141.13
15,16702508,103.72
15,54019411,70.53
15,11908900,289.26
15,10542779,58.86
15,11312303,337.49
15,8868891,241.30
15,24800209,45.95
15,67103224,177.29
15,97328619,118.93
15,11305305,107.96
15,16261259,171.65
15,65660101,13.18
15,18953840,11.47
15,82338311,364.34
15,10374425,324.05
15,13432216,156.41
15,14075731,107.22
15,15679701,17.15
15,73173339,134.78
15,13261671,108.33
15,45116785,49.30
15,10636327,218.49
15,12688955,151.04
15,49483207,156.64
15,17317758,117.08
15,8979306,233.70
15,33890523,71.41
15,13662632,102.68
15,68429027,63.96
15,10480373,143.45
15,31997695,61.46
15,16365249,8.20
15,92677043,391.18
15,76924992,179.97
15,8917824,134.23
15,16475643,4.97
15,27062280,170.88
15,54367865,114.42
15,11709275,116.50
15,16382181,138.84
15,10839360,160.10
15,9793002,260.57
15,57408432,514.64
15,12741643,48.50
15,51701371,60.58
15,16237673,327.88
15,12031849,50.67
15,10230887,25.94
15,40632050,347.21
15,20284825,273.49
15,33864996,36.45
15,13530149,20.55
15,24341356,379.06
15,13224731,109.20
15,10310680,103.46
15,68856237,85.92
15,44530388,63.46
15,13900070,219.82
15,90827703,213.19
15,39716144,46.56
15,23486180,228.62
15,8163178,184.22
15,82503408,125.76
15,101875457,9.95
15,72789994,218.64
15,11558116,46.28
15,23908114,65.27
15,21034733,74.49
15,59803498,124.71
15,35438706,114.40
15,9519614,131.69
15,28289494,38.94
15,10145559,64.56
15,16019560,123.03
15,11401467,262.95
15,23291987,35.57
15,43311575,8.84
15,62393271,126.00
15,82025907,343.31
15,15253915,85.74
15,16010342,78.88
15,8667414,99.88
15,13515579,259.60
15,43583506,346.58
15,9695385,154.98
15,11401123,23.00
15,12767728,118.46
15,26182869,16.41
15,10023520,95.05
15,28531451,86.76
15,20006443,267.78
15,13675934,341.20
15,69564296,320.91
15,13801893,99.43
15,60940394,297.91
15,14120829,111.36
15,8278146,60.21
15,10879313,79.81
15,21271588,107.09
15,79314696,97.64
15,11803496,200.92
15,38366977,275.95
15,44986623,79.53
15,94124150,120.24
15,41016896,227.78
15,48218989,165.18
15,59191461,14.40
15,10094809,272.67
15,13816402,10.94
15,11220434,472.72
15,10338530,180.58
15,12462427,94.97
15,11378986,139.41
15,16120930,21.45
15,84634399,20.84
15,31756837,182.30
15,95442999,328.69
15,13127251,43.58
15,13742128,321.40
15,93504926,215.85
15,11918805,92.51
15,9649442,266.02
15,54476283,342.37
15,8621924,102.02
15,18456250,173.05
15,9665689,248.99
15,10557027,98.40
15,17838818,150.64
15,11850050,160.53
15,64071131,106.60
15,40662297,238.55
15,33208112,152.40
15,12971134,34.83
15,11218687,76.95
15,90229447,57.99
15,69432760,12.77
15,75079735,67.88
15,10059409,34.50
15,102024817,423.64
15,13649049,106.07
15,10354456,256.81
15,20332181,189.26
15,11669659,133.14
15,7716508,233.40
15,41514349,72.60
15,24649432,208.54
15,14552601,76.96
15,10223493,133.00
15,11674445,194.31
15,12397290,118.58
15,9980921,288.51
15,8768248,204.39
15,12936916,325.58
15,94596773,315.27
15,7704744,231.43
15,53671434,158.26
15,78829303,111.26
15,8539501,35.34
15,9666513,126.02
15,85213418,119.34
15,62085417,268.61
15,27594176,175.30
15,8954340,254.57
15,60968749,265.74
15,7900364,887.94
15,11281408,176.06
15,36455468,134.17
15,81096766,151.75
15,40482120,108.24
15,41765708,119.00
15,93994544,12.24
15,9345130,30.39
15,9861989,187.88
15,46161729,486.61
15,15033605,128.48
15,40721735,204.42
15,72461495,65.26
15,52933293,39.33
15,7583936,99.47
15,57783303,354.96
15,19734769,226.96
15,12818467,51.92
15,11433249,337.96
15,17755929,156.19
15,85038455,126.32
15,10491228,52.17
15,83396158,4.22
15,13901470,74.55
15,35882615,262.72
15,11355906,9.64
15,30028048,24.90
15,8843860,447.78
15,8384167,266.52
15,12145127,60.25
15,15521386,155.86
15,79193325,114.98
15,62860718,189.14
15,14885874,424.36
15,29844005,107.86
15,15384077,117.54
15,10171951,83.55
15,14413252,9.30
15,34236662,80.74
15,25086426,109.94
15,43126700,57.63
15,12775862,103.74
15,67471606,106.81
15,15969350,736.73
15,12626724,192.80
15,73377753,55.23
15,12244052,64.46
15,31905618,213.21
15,43080987,293.84
15,12331932,53.46
15,9404324,278.20
15,12009077,59.15
15,43768170,42.53
15,86887616,268.68
15,80818097,102.08
15,15944131,230.26
15,35247404,263.91
15,87225162,61.44
15,11049895,13.03
15,51229626,27.76
15,13055844,12.84
15,73600201,24.38
15,14015268,162.78
15,12096291,65.52
15,25192747,358.51
15,93330948,196.83
15,89565930,368.88
15,14168148,38.80
15,58966081,37.65
15,87003301,37.50
15,57695589,11.10
15,10499426,226.28
15,11151692,404.49
15,20888219,62.65
15,67734100,91.35
15,48071408,64.32
15,9353642,149.47
15,55965936,105.19
15,13993321,221.44
15,76758165,284.67
15,59578041,101.50
15,11619496,103.73
15,97706227,159.48
15,8575308,46.92
15,62136764,453.53
15,10579353,95.82
15,47556779,235.76
15,11498580,287.90
15,62636973,192.86
15,11972621,96.05
15,24756788,179.46
15,11738052,157.44
15,36277263,154.57
15,42161527,273.19
15,77163771,121.31
15,24038997,11.19
15,15422549,63.18
15,41666285,289.07
15,74128875,332.95
15,9834787,240.46
15,60554947,157.53
15,98710509,147.69
15,22879483,92.35
15,11066388,23.45
15,64904051,144.38
15,11861028,165.89
15,56080247,160.30
15,13619225,110.86
15,79898481,73.72
15,86827233,479.79
15,13372518,234.30
15,14242323,102.89
15,96415899,235.91
15,23223778,128.00
15,21324772,56.76
15,14311432,129.10
15,45362544,12.48
15,15301992,231.43
15,9705162,351.63
15,16376804,75.36
15,9486576,173.75
15,15419658,33.16
15,45720429,192.40
15,7559044,138.65
15,9768118,343.61
15,13133208,277.39
15,9282145,132.84
15,11493782,142.11
15,98414188,84.20
15,62027842,71.44
15,13823174,201.37
15,9930935,212.56
15,9756532,205.30
15,56277048,247.86
15,79151581,251.36
15,15391463,56.85
15,64310721,27.28
15,9202851,6.47
15,41411223,115.69
15,34041435,228.98
15,88904439,394.84
15,14796493,178.03
15,12067832,6.46
15,68050000,61.99
15,25028397,71.14
15,9621493,44.49
15,39828863,238.55
15,13746267,423.72
15,17665913,101.88
15,16170628,78.46
15,12674613,258.79
15,55976302,46.93
15,22548145,205.97
15,17297326,26.33
15,7644180,75.51
15,11013729,38.71
15,93827470,1172.77
15,15142284,108.12
15,15184740,293.06
16,26706733,178.21
16,12801770,109.87
16,15022294,15.32
16,41246293,170.58
16,62069307,167.76
16,71708339,438.20
16,73291287,58.88
16,63795901,461.93
16,9714907,80.13
16,82338311,284.58
16,12361013,46.02
16,13432216,94.74
16,10374425,76.67
16,14075731,98.64
16,35629120,588.43
16,8490963,219.03
16,10794913,29.85
16,68706964,15.12
16,10586470,137.73
16,37843254,138.39
16,42490297,40.31
16,66718330,39.87
16,82797179,258.80
16,10171951,24.16
16,95514413,92.88
16,45756394,81.76
16,9345130,8.46
16,27594176,135.07
16,82212937,277.88
16,13568106,267.39
16,10291171,84.02
16,7547624,174.27
16,86887616,271.61
16,94450609,3.98
16,11037027,195.11
16,8384167,97.83
16,8023892,105.55
16,8422651,132.80
16,11329813,269.64
16,9578146,32.02
16,12094233,31.37
16,79238458,64.10
16,29766157,136.22
16,11636314,116.50
16,23180790,69.81
16,98533753,93.13
16,9826089,203.60
16,9666513,92.06
16,62085417,128.65
16,11355906,47.56
16,7843560,21.10
16,84338155,50.29
16,57677039,5.87
16,8074051,183.42
16,16073459,59.47
16,9486307,214.52
16,14144787,179.48
16,13011038,289.50
16,28606635,64.97
16,73057965,76.58
16,8728067,224.25
16,9815117,111.75
16,13249253,23.39
16,97823952,152.50
16,13401420,377.81
16,7637615,133.83
16,7787431,109.81
16,16162874,62.31
16,11187006,66.82
16,35305523,18.90
16,80818097,37.49
16,94658112,29.25
16,13380776,77.40
16,12732031,106.93
16,18790829,86.10
16,15415464,136.95
16,50747104,19.92
16,84789910,69.52
16,9838627,3.48
16,15111949,143.82
16,16225467,40.84
16,37385926,80.52
16,9256136,211.81
16,53076874,109.13
16,12885359,5.34
16,16198568,79.58
16,9487654,13.93
16,60968749,348.38
16,34236662,54.05
16,11475056,263.76
16,13415978,220.71
16,81077546,44.92
16,43128657,4.97
16,12775862,206.65
16,8480685,272.88
16,43126700,434.03
16,10436505,193.23
16,11306221,148.19
16,15422549,36.59
16,63737093,32.95
16,10904815,31.15
16,87003301,46.95
16,13214144,123.47
16,9085314,24.95
16,29844005,181.21
16,14885874,243.23
16,58181182,15.77
16,57408432,386.55
16,59831040,87.94
16,11315107,121.38
16,73787395,11.61
16,76758165,130.95
16,10094809,107.31
16,7842921,31.34
16,15039702,109.83
16,11960019,117.20
16,11195284,239.58
16,70971352,167.99
16,51220836,147.87
16,33711387,73.01
16,13736932,179.05
16,18522208,98.83
16,7881936,69.17
16,14118494,190.79
16,12203495,272.74
16,10131940,92.27
16,76119993,58.15
16,25086426,147.25
16,16318698,180.65
16,25945919,270.32
16,54517034,125.35
16,41534125,103.00
16,79898481,71.67
16,95940379,61.45
16,17297326,31.62
16,7680550,132.70
16,14628618,104.68
16,10743167,65.36
16,38106290,18.90
16,12632089,15.57
16,13092877,77.12
16,10220940,195.56
16,22569147,78.20
16,9090196,66.35
16,44288638,225.32
16,16459640,139.32
16,12625425,177.75
16,60750908,65.38
16,9534372,95.17
16,9388975,185.39
16,46483648,12.19
16,66277933,16.12
16,9513063,120.73
16,62252141,463.82
16,9665689,202.48
16,71530859,174.44
16,12279062,285.86
16,94982400,161.68
16,15075327,10.70
16,26906102,246.74
16,18196462,144.69
16,9340861,35.30
16,30169458,227.86
16,59191461,38.04
16,48218989,104.54
16,89833947,222.38
16,9393825,154.83
16,14910291,115.32
16,92503033,33.80
16,7644180,46.26
16,43080987,223.14
16,9788057,59.32
16,97328619,150.67
16,45158881,540.51
16,11305305,307.46
16,21671065,401.28
16,13759346,74.08
16,9453910,189.50
16,8205485,114.78
16,11129756,194.04
16,10099596,56.27
16,8603554,254.55
16,28289494,74.01
16,54019411,151.80
16,7583936,215.01
16,34041435,230.91
16,41411223,60.30
16,8773980,175.00
16,9887196,292.58
16,8405925,167.13
16,72016109,81.87
16,45720429,38.23
16,11328085,351.50
16,49811242,426.46
16,11357607,285.32
16,14243248,85.42
16,67734100,50.59
16,95825259,49.04
16,14386598,121.58
16,11960231,143.20
16,40061413,183.13
16,11398923,65.07
16,94828908,143.76
16,8014265,126.49
16,9216958,33.08
16,42047474,240.25
16,13917866,182.04
16,13671873,47.00
16,91931178,249.50
16,24768376,12.24
16,64904051,151.77
16,14606280,21.79
16,15630162,45.66
